2454264.59454168   0.9862891700952596 0.005426041338499488   SuperWASP   
2454265.58432613   0.9988120099074768 0.002926727552330876   SuperWASP   
2454266.59135249   0.9990745694011932 0.002083630297511412   SuperWASP   
2454267.60304509   0.9983555662091501 0.0014999678741304183  SuperWASP   
2454270.62359295   0.9912953921110935 0.009437000841325057   SuperWASP   
2454271.57713302   0.9913245130245948 0.0034854035269224507  SuperWASP   
2454272.60806463   0.9974770557398953 0.0019473145829045542  SuperWASP   
2454273.53535835   0.979063111103554  0.008253301888246347   SuperWASP   
2454274.57746395   0.9952706318136461 0.0030749355479451615  SuperWASP   
2454275.61845583   0.9980704726967216 0.0013919488365652152  SuperWASP   
2454276.62965016   1.0004011392759082 0.0014346869854679587  SuperWASP   
2454277.60792679   0.9882898809824776 0.0021800459367758043  SuperWASP   
2454278.60390246   0.9893349606086189 0.002684357988945308   SuperWASP   
2454279.61221087   0.9976901730535117 0.0030327795460403507  SuperWASP   
2454280.62193092   0.99444438529094   0.003262182185606242   SuperWASP   
2454281.61684942   1.0023931241520088 0.003724159225127832   SuperWASP   
2454282.60905493   1.001782818033981  0.0039825041427541405  SuperWASP   
2454283.60475426   1.005102962104149  0.0032503483941044883  SuperWASP   
2454284.61668477   0.9997795275606352 0.0028470518438687064  SuperWASP   
2454285.60077105   1.0013135270778233 0.002663903705168911   SuperWASP   
2454286.61742186   0.9899987517360241 0.0021900081854608236  SuperWASP   
2454287.59860363   0.9986673737346571 0.0020918123587618954  SuperWASP   
2454288.59356967   0.9979112364748766 0.0016669069040847774  SuperWASP   
2454289.58644027   0.9958705532448009 0.0013640161683285152  SuperWASP   
2454290.5863055    0.9936082692053702 0.0012764245549624575  SuperWASP   
2454291.5877767    0.9980754408295852 0.0013882475036435034  SuperWASP   
2454292.60970991   0.9973535848107996 0.0016618083245349066  SuperWASP   
2454293.53979673   0.9998296369143017 0.0016237546406166652  SuperWASP   
2454294.59521496   0.9989906759360423 0.0012303002510203355  SuperWASP   
2454295.58798606   0.9967831063998441 0.001176637663676615   SuperWASP   
2454297.56296187   0.9910501970987025 0.0025886323783487616  SuperWASP   
2454298.46413898   0.9869098488288296 0.030706968899890705   SuperWASP   
2454302.45776104   1.0127122985098498 0.010875426169981613   SuperWASP   
2454303.50484316   0.9961112213066492 0.002224689949764793   SuperWASP   
2454304.50835368   0.9922457633056644 0.002719241550272244   SuperWASP   
2454305.50107437   0.9918628434235272 0.002925626912890529   SuperWASP   
2454306.53157311   0.9938456904413883 0.0026092314192976656  SuperWASP   
2454307.53880006   1.001138286387151  0.0025838515345369827  SuperWASP   
